state,date,age,ethnicity,population
Johor,2022-01-01,60-64,bumi_other,0.7
Johor,2022-01-01,60-64,chinese,31.8
Johor,2022-01-01,60-64,indian,4.7
Johor,2022-01-01,60-64,other_citizen,0.5
Johor,2022-01-01,60-64,other_noncitizen,3.7
Johor,2022-01-01,65-69,overall,55.7
Johor,2022-01-01,65-69,bumi_malay,28.3
Johor,2022-01-01,65-69,bumi_other,0.6
Johor,2022-01-01,65-69,chinese,18.7
Johor,2022-01-01,65-69,indian,3.1
Johor,2022-01-01,65-69,other_citizen,0.5
Johor,2022-01-01,65-69,other_noncitizen,4.5
Johor,2022-01-01,70-74,overall,34.6
Johor,2022-01-01,70-74,bumi_malay,18.4
Johor,2022-01-01,70-74,bumi_other,0.4
Johor,2022-01-01,70-74,chinese,10.7
Johor,2022-01-01,70-74,indian,1.9
Johor,2022-01-01,70-74,other_citizen,0.2
Johor,2022-01-01,70-74,other_noncitizen,3
Johor,2022-01-01,75-79,overall,20.1
Johor,2022-01-01,75-79,bumi_malay,10
Johor,2022-01-01,75-79,bumi_other,0.3
Johor,2022-01-01,75-79,chinese,6.9
Johor,2022-01-01,75-79,indian,1.1
Johor,2022-01-01,75-79,other_citizen,0
Johor,2022-01-01,75-79,other_noncitizen,1.7
Johor,2022-01-01,80-84,overall,11.9
Johor,2022-01-01,80-84,bumi_malay,5.6
Johor,2022-01-01,80-84,bumi_other,0.2
Johor,2022-01-01,80-84,chinese,3.8
Johor,2022-01-01,80-84,indian,0.5
Johor,2022-01-01,80-84,other_citizen,0
Johor,2022-01-01,80-84,other_noncitizen,1.8
Johor,2022-01-01,85 and above,overall,11
Johor,2022-01-01,85 and above,bumi_malay,5.2
Johor,2022-01-01,85 and above,bumi_other,0.3
Johor,2022-01-01,85 and above,chinese,2.7
Johor,2022-01-01,85 and above,indian,0.6
Johor,2022-01-01,85 and above,other_citizen,0
Johor,2022-01-01,85 and above,other_noncitizen,2.3
Johor,2023-01-01,0-4,overall,266.2
Johor,2023-01-01,0-4,bumi_malay,190.5
Johor,2023-01-01,0-4,bumi_other,6.5
Johor,2023-01-01,0-4,chinese,50.7
Johor,2023-01-01,0-4,indian,14.3
Johor,2023-01-01,0-4,other_citizen,2
Johor,2023-01-01,0-4,other_noncitizen,2.2
Johor,2023-01-01,15-19,overall,338.6
Johor,2023-01-01,15-19,bumi_malay,194.4
Johor,2023-01-01,15-19,bumi_other,5.3
Johor,2023-01-01,15-19,chinese,98.9
Johor,2023-01-01,15-19,indian,21.3
Johor,2023-01-01,15-19,other_citizen,2.4
Johor,2023-01-01,15-19,other_noncitizen,16.3
Johor,2023-01-01,20-24,overall,403.1
Johor,2023-01-01,20-24,bumi_malay,201.3
Johor,2023-01-01,20-24,bumi_other,5.5
Johor,2023-01-01,20-24,chinese,102.6
Johor,2023-01-01,20-24,indian,21.4
Johor,2023-01-01,20-24,other_citizen,4.1
Johor,2023-01-01,20-24,other_noncitizen,68.3
Johor,2023-01-01,25-29,overall,381.3
Johor,2023-01-01,25-29,bumi_malay,183.6
Johor,2023-01-01,25-29,bumi_other,3.3
Johor,2023-01-01,25-29,chinese,100.7
Johor,2023-01-01,25-29,indian,20
Johor,2023-01-01,25-29,other_citizen,1.3
Johor,2023-01-01,25-29,other_noncitizen,72.4
Johor,2023-01-01,30-34,overall,340.6
Johor,2023-01-01,30-34,bumi_malay,174.3
Johor,2023-01-01,30-34,bumi_other,3.3
Johor,2023-01-01,30-34,chinese,94
Johor,2023-01-01,30-34,indian,18.8
Johor,2023-01-01,30-34,other_citizen,1.1
Johor,2023-01-01,30-34,other_noncitizen,49.1
Johor,2023-01-01,35-39,overall,323.4
Johor,2023-01-01,35-39,bumi_malay,173.6
Johor,2023-01-01,35-39,bumi_other,6
Johor,2023-01-01,35-39,chinese,90.8
Johor,2023-01-01,35-39,indian,18.1
Johor,2023-01-01,35-39,other_citizen,0.7
Johor,2023-01-01,35-39,other_noncitizen,34.3
Johor,2023-01-01,40-44,overall,290.5
Johor,2023-01-01,40-44,bumi_malay,153.2
Johor,2023-01-01,40-44,bumi_other,5.1
Johor,2023-01-01,40-44,chinese,88.2
Johor,2023-01-01,40-44,indian,20.4
Johor,2023-01-01,40-44,other_citizen,0.8
Johor,2023-01-01,40-44,other_noncitizen,22.9
Johor,2023-01-01,45-49,overall,240.3
Johor,2023-01-01,45-49,bumi_malay,118.1
Johor,2023-01-01,45-49,bumi_other,4.2
Johor,2023-01-01,45-49,chinese,83.2
Johor,2023-01-01,45-49,indian,16.8
Johor,2023-01-01,45-49,other_citizen,1.5
Johor,2023-01-01,45-49,other_noncitizen,16.5
Johor,2023-01-01,50-54,overall,219.7
Johor,2023-01-01,50-54,bumi_malay,111.2
Johor,2023-01-01,50-54,bumi_other,2.7
Johor,2023-01-01,50-54,chinese,79.7
Johor,2023-01-01,50-54,indian,14.1
Johor,2023-01-01,50-54,other_citizen,0.8
Johor,2023-01-01,50-54,other_noncitizen,11.3
Johor,2023-01-01,55-59,overall,197.6
Johor,2023-01-01,55-59,bumi_malay,101.5
Johor,2023-01-01,55-59,bumi_other,2
Johor,2023-01-01,55-59,chinese,72.5
Johor,2023-01-01,55-59,indian,12.4
Johor,2023-01-01,55-59,other_citizen,0.6
Johor,2023-01-01,55-59,other_noncitizen,8.7
Johor,2023-01-01,60-64,overall,169.2
Johor,2023-01-01,60-64,bumi_malay,88
Johor,2023-01-01,60-64,bumi_other,1.3
Johor,2023-01-01,60-64,chinese,63.5
Johor,2023-01-01,60-64,indian,10
Johor,2023-01-01,60-64,other_citizen,0.6
Johor,2023-01-01,60-64,other_noncitizen,5.7
Johor,2023-01-01,65-69,overall,126.1
Johor,2023-01-01,65-69,bumi_malay,63
Johor,2023-01-01,65-69,bumi_other,1.1
Johor,2023-01-01,65-69,chinese,44.2
Johor,2023-01-01,65-69,indian,7.5
Johor,2023-01-01,65-69,other_citizen,0.8
Johor,2023-01-01,65-69,other_noncitizen,9.5
Johor,2023-01-01,70-74,overall,73.1
Johor,2023-01-01,70-74,bumi_malay,39.1
Johor,2023-01-01,70-74,bumi_other,0.9
Johor,2023-01-01,70-74,chinese,22
Johor,2023-01-01,70-74,indian,4.5
Johor,2023-01-01,70-74,other_citizen,0.5
Johor,2023-01-01,70-74,other_noncitizen,6.2
Johor,2023-01-01,75-79,overall,45.1
Johor,2023-01-01,75-79,bumi_malay,23.3
Johor,2023-01-01,75-79,bumi_other,0.7
Johor,2023-01-01,75-79,chinese,15
Johor,2023-01-01,75-79,indian,2.8
Johor,2023-01-01,75-79,other_citizen,0.1
Johor,2023-01-01,75-79,other_noncitizen,3.4
Johor,2023-01-01,80-84,overall,24.3
Johor,2023-01-01,80-84,bumi_malay,12
Johor,2023-01-01,80-84,bumi_other,0.4
Johor,2023-01-01,80-84,chinese,7.1
Johor,2023-01-01,80-84,indian,1.2
Johor,2023-01-01,80-84,other_citizen,0
Johor,2023-01-01,80-84,other_noncitizen,3.6
Johor,2023-01-01,85 and above,overall,20.1
Johor,2023-01-01,85 and above,bumi_malay,10.3
Johor,2023-01-01,85 and above,bumi_other,0.6
Johor,2023-01-01,85 and above,chinese,4
Johor,2023-01-01,85 and above,indian,1.1
Johor,2023-01-01,85 and above,other_citizen,0
Johor,2023-01-01,85 and above,other_noncitizen,4
Johor,2023-01-01,0-4,overall,131.1
Johor,2023-01-01,0-4,bumi_malay,93
Johor,2023-01-01,0-4,bumi_other,3.2
Johor,2023-01-01,0-4,chinese,25.7
Johor,2023-01-01,0-4,indian,7.2
Johor,2023-01-01,0-4,other_citizen,1
Johor,2023-01-01,0-4,other_noncitizen,1
Johor,2023-01-01,15-19,overall,159.4
Johor,2023-01-01,15-19,bumi_malay,94.1
Johor,2023-01-01,15-19,bumi_other,2.7
Johor,2023-01-01,15-19,chinese,48
Johor,2023-01-01,15-19,indian,10.6
Johor,2023-01-01,15-19,other_citizen,0.8
Johor,2023-01-01,15-19,other_noncitizen,3.1
Johor,2023-01-01,20-24,overall,173.6
Johor,2023-01-01,20-24,bumi_malay,97.8
Johor,2023-01-01,20-24,bumi_other,2.9
Johor,2023-01-01,20-24,chinese,49.6
Johor,2023-01-01,20-24,indian,10.3
Johor,2023-01-01,20-24,other_citizen,1.4
Johor,2023-01-01,20-24,other_noncitizen,11.5
Johor,2023-01-01,25-29,overall,159.3
Johor,2023-01-01,25-29,bumi_malay,88.5
Johor,2023-01-01,25-29,bumi_other,2.2
Johor,2023-01-01,25-29,chinese,48.4
Johor,2023-01-01,25-29,indian,10
Johor,2023-01-01,25-29,other_citizen,0.9
Johor,2023-01-01,25-29,other_noncitizen,9.3
Johor,2023-01-01,30-34,overall,150.6
Johor,2023-01-01,30-34,bumi_malay,85.2
Johor,2023-01-01,30-34,bumi_other,1.6
Johor,2023-01-01,30-34,chinese,46.3
Johor,2023-01-01,30-34,indian,9.4
Johor,2023-01-01,30-34,other_citizen,0.6
Johor,2023-01-01,30-34,other_noncitizen,7.5
Johor,2023-01-01,35-39,overall,145.5
Johor,2023-01-01,35-39,bumi_malay,85.2
Johor,2023-01-01,35-39,bumi_other,2.5
Johor,2023-01-01,35-39,chinese,44
Johor,2023-01-01,35-39,indian,8.4
Johor,2023-01-01,35-39,other_citizen,0.1
Johor,2023-01-01,35-39,other_noncitizen,5.3
Johor,2023-01-01,40-44,overall,134.7
Johor,2023-01-01,40-44,bumi_malay,75.8
Johor,2023-01-01,40-44,bumi_other,2.2
Johor,2023-01-01,40-44,chinese,42.4
Johor,2023-01-01,40-44,indian,9.9
Johor,2023-01-01,40-44,other_citizen,0.4
Johor,2023-01-01,40-44,other_noncitizen,4.1
Johor,2023-01-01,45-49,overall,111.1
Johor,2023-01-01,45-49,bumi_malay,58
Johor,2023-01-01,45-49,bumi_other,1.2
Johor,2023-01-01,45-49,chinese,40.2
Johor,2023-01-01,45-49,indian,8.3
Johor,2023-01-01,45-49,other_citizen,0.3
Johor,2023-01-01,45-49,other_noncitizen,3.3
Johor,2023-01-01,50-54,overall,107
Johor,2023-01-01,50-54,bumi_malay,56.3
Johor,2023-01-01,50-54,bumi_other,1.1
Johor,2023-01-01,50-54,chinese,39.4
Johor,2023-01-01,50-54,indian,7.4
Johor,2023-01-01,50-54,other_citizen,0.3
Johor,2023-01-01,50-54,other_noncitizen,2.5
Johor,2023-01-01,55-59,overall,95.9
Johor,2023-01-01,55-59,bumi_malay,51.5
Johor,2023-01-01,55-59,bumi_other,0.8
Johor,2023-01-01,55-59,chinese,35.5
Johor,2023-01-01,55-59,indian,6
Johor,2023-01-01,55-59,other_citizen,0.3
Johor,2023-01-01,55-59,other_noncitizen,1.8
Johor,2023-01-01,60-64,overall,82.3
Johor,2023-01-01,60-64,bumi_malay,44.2
Johor,2023-01-01,60-64,bumi_other,0.6
Johor,2023-01-01,60-64,chinese,30.8
Johor,2023-01-01,60-64,indian,5.1
Johor,2023-01-01,60-64,other_citizen,0.2
Johor,2023-01-01,60-64,other_noncitizen,1.4
Johor,2023-01-01,65-69,overall,64.7
Johor,2023-01-01,65-69,bumi_malay,32.7
Johor,2023-01-01,65-69,bumi_other,0.5
Johor,2023-01-01,65-69,chinese,22.8
Johor,2023-01-01,65-69,indian,4.2
Johor,2023-01-01,65-69,other_citizen,0.2
Johor,2023-01-01,65-69,other_noncitizen,4.2
Johor,2023-01-01,70-74,overall,37.3
Johor,2023-01-01,70-74,bumi_malay,20.2
Johor,2023-01-01,70-74,bumi_other,0.5
Johor,2023-01-01,70-74,chinese,11.3
Johor,2023-01-01,70-74,indian,2.5
Johor,2023-01-01,70-74,other_citizen,0.2
Johor,2023-01-01,70-74,other_noncitizen,2.6
Johor,2023-01-01,75-79,overall,23.5
Johor,2023-01-01,75-79,bumi_malay,12.3
Johor,2023-01-01,75-79,bumi_other,0.3
Johor,2023-01-01,75-79,chinese,7.8
Johor,2023-01-01,75-79,indian,1.6
Johor,2023-01-01,75-79,other_citizen,0.1
Johor,2023-01-01,75-79,other_noncitizen,1.4
Johor,2023-01-01,80-84,overall,12.5
Johor,2023-01-01,80-84,bumi_malay,6.5
Johor,2023-01-01,80-84,bumi_other,0.2
Johor,2023-01-01,80-84,chinese,3.8
Johor,2023-01-01,80-84,indian,0.7
Johor,2023-01-01,80-84,other_citizen,0
Johor,2023-01-01,80-84,other_noncitizen,1.4
Johor,2023-01-01,85 and above,overall,8.4
Johor,2023-01-01,85 and above,bumi_malay,4.8
Johor,2023-01-01,85 and above,bumi_other,0.4
Johor,2023-01-01,85 and above,chinese,1.3
Johor,2023-01-01,85 and above,indian,0.5
Johor,2023-01-01,85 and above,other_citizen,0
Johor,2023-01-01,85 and above,other_noncitizen,1.4
Johor,2023-01-01,0-4,overall,135.1
Johor,2023-01-01,0-4,bumi_malay,97.5
Johor,2023-01-01,0-4,bumi_other,3.3
Johor,2023-01-01,0-4,chinese,25
Johor,2023-01-01,0-4,indian,7.1
Johor,2023-01-01,0-4,other_citizen,1
Johor,2023-01-01,0-4,other_noncitizen,1.2
Johor,2023-01-01,15-19,overall,179.2
Johor,2023-01-01,15-19,bumi_malay,100.2
Johor,2023-01-01,15-19,bumi_other,2.7
Johor,2023-01-01,15-19,chinese,50.9
Johor,2023-01-01,15-19,indian,10.7
Johor,2023-01-01,15-19,other_citizen,1.5
Johor,2023-01-01,15-19,other_noncitizen,13.2
Johor,2023-01-01,20-24,overall,229.5
Johor,2023-01-01,20-24,bumi_malay,103.5
Johor,2023-01-01,20-24,bumi_other,2.6
Johor,2023-01-01,20-24,chinese,53
Johor,2023-01-01,20-24,indian,11
